Percentage Payoff Discovered,Attrition,Attrition Rate
91.50336198314687,265,0.5018939393939394
98.00068450859102,218,0.45322245322245325
97.1536312812281,217,0.4492753623188406
91.95604784688965,218,0.4608879492600423
88.71854588587027,226,0.47280334728033474
96.0001810380365,250,0.4816955684007707
94.56942699958798,188,0.4302059496567506
95.62159384304499,241,0.4781746031746032
92.74974291263631,229,0.4626262626262626
94.71854193723075,230,0.4742268041237113
94.9087552432782,229,0.4607645875251509
93.0712689780039,225,0.47368421052631576
95.9110749787919,224,0.45714285714285713
93.58054736345244,209,0.44849785407725323
96.7661841497977,218,0.4570230607966457
90.52662849325314,212,0.4435146443514644
93.78611540219548,212,0.43711340206185567
95.02487067872012,239,0.47326732673267324
91.50081065229702,249,0.48919449901768175
95.82210612953936,232,0.46123260437375746
96.67625348544478,203,0.4432314410480349
93.9496008633367,228,0.4596774193548387
94.04161525773594,220,0.4573804573804574
95.28323618696488,240,0.47244094488188976
92.51026280772486,226,0.450199203187251
95.73460186375684,221,0.4594594594594595
89.58668968942767,202,0.45089285714285715
95.01949635729152,214,0.45726495726495725
95.1160857548134,235,0.4671968190854871
94.44589399474663,231,0.4714285714285714
94.72712072133419,197,0.43680709534368073
93.15080122393469,221,0.45286885245901637
94.01254290155576,232,0.4793388429752066
97.0337004888575,238,0.47695390781563124
88.49077302751587,204,0.4533333333333333
92.7323893740373,222,0.46443514644351463
96.0081755481537,217,0.44650205761316875
97.23886148978981,220,0.4583333333333333
96.15410037444369,209,0.43907563025210083
94.96197186630336,222,0.4673684210526316
94.90361034219951,192,0.4192139737991266
88.92652327277436,271,0.5046554934823091
92.61617193683428,235,0.48254620123203285
90.17452212820291,269,0.5163147792706334
96.31573244520402,220,0.46709129511677283
91.30897857154518,220,0.46709129511677283
90.60989828304193,238,0.4827586206896552
94.31096566154072,207,0.45098039215686275
98.04590116049067,233,0.46975806451612906
91.43940667923435,260,0.4961832061068702
89.88486395679357,204,0.4358974358974359
93.06966330953767,240,0.47619047619047616
97.71162284564974,223,0.4724576271186441
95.67324157131118,222,0.4605809128630705
96.28254495113207,214,0.43673469387755104
96.55598171324765,205,0.44372294372294374
94.88471483113636,220,0.4631578947368421
96.35786041868137,198,0.4342105263157895
94.70869164439117,240,0.47058823529411764
95.92470445419826,224,0.45901639344262296
93.95144399096732,182,0.4108352144469526
89.32099032154339,265,0.5226824457593688
93.71039105853954,276,0.5130111524163569
96.78113229849016,230,0.4665314401622718
88.27753707405415,226,0.4669421487603306
93.30128082941724,217,0.4492753623188406
96.44529174644057,228,0.475
95.34686425843911,242,0.4627151051625239
95.3809706915271,237,0.4656188605108055
92.3581235383609,238,0.4808080808080808
95.47628079748667,239,0.46862745098039216
96.33415008654605,250,0.4921259842519685
95.46230261456448,219,0.453416149068323
97.02283330755857,203,0.43844492440604754
92.70500076332559,239,0.46954813359528486
95.58702632213728,217,0.4811529933481153
94.3213622005689,237,0.48466257668711654
97.647190364782,234,0.46706586826347307
98.96356033035623,194,0.42637362637362636
95.10504764031842,231,0.4685598377281947
94.63000676382201,268,0.4962962962962963
97.84945828789189,254,0.49034749034749037
96.82135081385246,218,0.4579831932773109
96.99974822782573,198,0.4342105263157895
95.71780689096714,254,0.508
96.39720530742693,256,0.4942084942084942
95.1290245327822,218,0.4658119658119658
95.37144382166285,199,0.43832599118942733
94.20977479520771,224,0.46764091858037576
94.39354197394414,199,0.44719101123595506
96.3356966182081,211,0.4617067833698031
90.70880358939398,218,0.45416666666666666
93.15980181140638,216,0.4462809917355372
97.33786884463994,220,0.45081967213114754
95.00358204272568,252,0.4864864864864865
94.69536419400526,229,0.4711934156378601
96.24076822175088,214,0.44863731656184486
95.09801215178928,216,0.44536082474226807
94.70828541235974,216,0.4472049689440994
96.6775233877512,224,0.45807770961145194
