Percentage Payoff Discovered,Attrition,Attrition Rate
99.99999998136889,201,0.6931034482758621
99.9999999999966,210,0.695364238410596
99.99999999999383,213,0.714765100671141
99.99999999993551,197,0.6769759450171822
99.99999999999913,244,0.7327327327327328
99.99999999969707,213,0.696078431372549
99.99999999999943,211,0.6895424836601307
99.99999999999855,209,0.7013422818791947
99.99999999999527,202,0.6644736842105263
99.99999999972266,201,0.6907216494845361
99.99999999867836,190,0.6761565836298933
99.99999999999986,211,0.6963696369636964
99.99999999997348,233,0.7304075235109718
99.99999999999953,216,0.7248322147651006
99.99999999999997,209,0.6989966555183946
99.99999999997759,224,0.7021943573667712
99.99999999999852,200,0.6920415224913494
99.99999999998302,211,0.6895424836601307
99.99999999996938,200,0.6920415224913494
99.99999999765546,229,0.7089783281733746
99.99999999966428,272,0.7619047619047619
99.99999999474163,235,0.7208588957055214
99.99999999998309,238,0.723404255319149
99.99999999999183,205,0.6810631229235881
99.99999999999487,203,0.7097902097902098
99.99999999999996,214,0.7039473684210527
99.99999999986652,222,0.7302631578947368
99.99999999996689,196,0.6689419795221843
99.99999999999744,231,0.7129629629629629
99.99999999999153,227,0.7183544303797469
99.99999999899217,211,0.7009966777408638
99.99999999999703,186,0.6763636363636364
99.99999999999916,209,0.7206896551724138
99.9999999999622,191,0.6563573883161512
99.99999999997003,188,0.6666666666666666
99.99999999984934,200,0.7067137809187279
99.99999999998408,219,0.6822429906542056
99.99999999920571,218,0.7032258064516129
99.99999999866989,192,0.676056338028169
99.99999999984168,210,0.6796116504854369
99.99999999984468,217,0.7091503267973857
99.99999992694153,208,0.7197231833910035
99.999999999989,213,0.6983606557377049
99.99999998711398,181,0.6441281138790036
99.99999999999865,229,0.7246835443037974
99.99999999997502,236,0.7375
99.99999999961135,221,0.7198697068403909
99.9999999999853,217,0.7068403908794788
99.99999999998748,209,0.7084745762711865
99.99999999999923,235,0.7320872274143302
99.99999999979526,210,0.7342657342657343
99.99999999999875,216,0.7035830618892508
99.9999999999794,184,0.6666666666666666
99.9999999999478,198,0.6851211072664359
99.99999999999997,207,0.7016949152542373
99.99999999998332,243,0.7319277108433735
99.999999990438,197,0.6677966101694915
99.99999999713562,214,0.6903225806451613
99.99999999999437,200,0.6514657980456026
99.99999998430691,231,0.7333333333333333
99.99999999993565,192,0.7032967032967034
99.9999999999977,218,0.7266666666666667
99.9999999999997,225,0.7352941176470589
99.99999999999403,198,0.6875
99.99999999831323,227,0.7229299363057324
99.99999999999318,218,0.7032258064516129
99.9999999999974,207,0.7040816326530612
99.99999999999889,224,0.691358024691358
99.99999999995295,214,0.7205387205387206
99.9999999995829,197,0.6840277777777778
99.99999996909207,222,0.7254901960784313
99.99999999662654,218,0.7055016181229773
99.99999999999767,214,0.7062706270627063
99.99999999990817,221,0.7152103559870551
99.99999999993912,194,0.6783216783216783
99.99999999999977,227,0.7252396166134185
99.9999999999884,179,0.6415770609318996
99.9999999997635,222,0.7161290322580646
99.99999999997426,217,0.7068403908794788
99.99999999999996,206,0.6912751677852349
99.99999999982712,190,0.6761565836298933
99.99999999990362,182,0.6453900709219859
99.99999999998218,226,0.7018633540372671
99.99999999999814,193,0.6771929824561403
99.99999999998612,200,0.6802721088435374
99.99999999996346,220,0.6962025316455697
99.99999999852626,215,0.7142857142857143
99.9999999999867,178,0.644927536231884
99.99999999926179,182,0.6920152091254753
99.9999999999842,197,0.6793103448275862
99.99999999996366,212,0.7066666666666667
99.99999999993835,188,0.6596491228070176
99.99999999044282,247,0.7647058823529411
99.99999999998894,214,0.6858974358974359
99.99999999943961,194,0.6736111111111112
99.99999999996835,211,0.7562724014336918
99.99999999881103,211,0.7128378378378378
99.9999999905692,218,0.7194719471947195
99.99999999358072,212,0.7114093959731543
99.99999994045376,210,0.7094594594594594
