Percentage Payoff Discovered,Attrition,Attrition Rate
32.62837118240434,200,0.6944444444444444
23.541039910599366,211,0.6872964169381107
40.39840742515805,206,0.7054794520547946
29.46469596249403,204,0.6777408637873754
28.677943363000985,238,0.7168674698795181
32.15455926061257,218,0.7414965986394558
30.62569899075293,233,0.7082066869300911
39.95089331758329,189,0.6539792387543253
29.473010909010313,228,0.7238095238095238
36.34654051346605,208,0.7197231833910035
46.712067205571586,261,0.7457142857142857
43.00808731039311,199,0.6745762711864407
37.264978722404535,222,0.7161290322580646
48.47391916136199,200,0.6779661016949152
30.143433808573583,218,0.7315436241610739
26.039064875114214,200,0.6779661016949152
40.685703276909166,217,0.7068403908794788
22.437013034074067,202,0.6644736842105263
32.39559343491837,211,0.7226027397260274
32.38128073528214,212,0.6883116883116883
29.085267413495185,186,0.6642857142857143
34.85846535166042,224,0.7066246056782335
36.295239084030364,227,0.7071651090342679
37.66213336082238,243,0.7738853503184714
28.329380195872705,219,0.697452229299363
34.56659478638387,214,0.6993464052287581
43.399502751845645,189,0.6798561151079137
46.84662534770516,166,0.6666666666666666
33.07146278662137,199,0.6885813148788927
35.369017399555666,223,0.7311475409836066
31.91442952544475,209,0.7084745762711865
33.062836480390104,195,0.6794425087108014
31.69151134953218,205,0.6810631229235881
24.078895379701702,206,0.7177700348432056
38.50280180492586,209,0.7157534246575342
41.131807525653905,209,0.6634920634920635
30.553579655363077,231,0.7451612903225806
37.90430768572462,227,0.7229299363057324
35.72906933047255,212,0.6816720257234726
28.833990386674046,224,0.7249190938511327
31.37253959771449,236,0.7065868263473054
33.19321484494001,200,0.6920415224913494
33.96743290624488,246,0.7256637168141593
35.28802895050248,193,0.658703071672355
40.95600903625137,200,0.6688963210702341
26.842803563938993,208,0.6864686468646864
35.80614332757431,238,0.7460815047021944
51.70508208699373,185,0.6801470588235294
32.335127479240796,220,0.7260726072607261
44.47734558529327,214,0.7254237288135593
35.27816318840703,235,0.7208588957055214
34.702334364490625,233,0.7039274924471299
42.39871972167966,202,0.689419795221843
33.17941866140076,201,0.6979166666666666
41.132472731388205,206,0.7079037800687286
32.87401945506386,214,0.7039473684210527
41.063486947081465,207,0.6877076411960132
37.96377008821154,200,0.6734006734006734
31.09272481585283,219,0.697452229299363
31.55017991960129,227,0.7346278317152104
28.505845168703793,215,0.7263513513513513
34.03627443376631,221,0.7106109324758842
45.303522248134556,206,0.6866666666666666
30.266415244408197,218,0.7032258064516129
42.35136407915177,221,0.7269736842105263
34.518979486084724,224,0.7111111111111111
29.66378355866522,232,0.7272727272727273
34.20427912772239,220,0.7166123778501629
33.98604486898179,199,0.6862068965517242
39.870946489214106,185,0.6537102473498233
29.185415884396438,205,0.6833333333333333
39.13739639449961,220,0.6918238993710691
39.34587160789128,214,0.722972972972973
30.512310463075703,207,0.711340206185567
35.56745976170127,212,0.7186440677966102
27.4301691445627,196,0.6877192982456141
44.726270220235,214,0.7181208053691275
30.919387544301298,231,0.7241379310344828
36.30764113676634,206,0.6983050847457627
30.0495658923618,193,0.6843971631205674
40.251100831779176,184,0.6433566433566433
28.941706954972542,179,0.6605166051660517
33.47926921489475,234,0.7134146341463414
41.76594156805324,195,0.6701030927835051
38.86435759430414,210,0.670926517571885
26.443815128207543,205,0.6721311475409836
35.12897346431852,239,0.7308868501529052
47.188804421634515,208,0.6819672131147541
35.354813847270705,212,0.726027397260274
44.205663908770546,222,0.7474747474747475
36.644372922480514,220,0.7096774193548387
28.911625419934072,196,0.6901408450704225
44.019897677424744,215,0.7166666666666667
34.204988678822815,200,0.684931506849315
37.21102610494412,198,0.6875
34.01461370479919,221,0.7152103559870551
32.50819933594493,195,0.6794425087108014
33.582994939216185,218,0.7266666666666667
44.94065617565792,206,0.7006802721088435
38.524534882013285,228,0.7378640776699029
