Input,Location,Funds,Payoff Extracted,Remaining Payoff,Total Payoff
"scientistIncentives payoff 0.9, scientistIncentives citation 0.033, scientistIncentives exploration 0.033, scientistIncentives funding 0.033","(0, 0)",495.0495049504951,28.0,8.375501962092409e-55,28
"scientistIncentives payoff 0.9, scientistIncentives citation 0.033, scientistIncentives exploration 0.033, scientistIncentives funding 0.033","(0, 1)",495.0495049504951,0,16,2
"scientistIncentives payoff 0.9, scientistIncentives citation 0.033, scientistIncentives exploration 0.033, scientistIncentives funding 0.033","(0, 2)",495.0495049504951,0,18,4
"scientistIncentives payoff 0.9, scientistIncentives citation 0.033, scientistIncentives exploration 0.033, scientistIncentives funding 0.033","(0, 3)",495.0495049504951,1.9402224981448781,15.839774308526556,2
"scientistIncentives payoff 0.9, scientistIncentives citation 0.033, scientistIncentives exploration 0.033, scientistIncentives funding 0.033","(0, 4)",495.0495049504951,0,13,12
"scientistIncentives payoff 0.9, scientistIncentives citation 0.033, scientistIncentives exploration 0.033, scientistIncentives funding 0.033","(0, 5)",495.0495049504951,0,10.475278000432432,20
"scientistIncentives payoff 0.9, scientistIncentives citation 0.033, scientistIncentives exploration 0.033, scientistIncentives funding 0.033","(0, 6)",495.0495049504951,3.1425178328383785,25,4
"scientistIncentives payoff 0.9, scientistIncentives citation 0.033, scientistIncentives exploration 0.033, scientistIncentives funding 0.033","(0, 7)",495.0495049504951,0,0,22
"scientistIncentives payoff 0.9, scientistIncentives citation 0.033, scientistIncentives exploration 0.033, scientistIncentives funding 0.033","(0, 8)",495.0495049504951,0,0,20
"scientistIncentives payoff 0.9, scientistIncentives citation 0.033, scientistIncentives exploration 0.033, scientistIncentives funding 0.033","(0, 9)",495.0495049504951,9.836630497828077,17,10
"scientistIncentives payoff 0.9, scientistIncentives citation 0.033, scientistIncentives exploration 0.033, scientistIncentives funding 0.033","(1, 0)",495.0495049504951,0,2,16
"scientistIncentives payoff 0.9, scientistIncentives citation 0.033, scientistIncentives exploration 0.033, scientistIncentives funding 0.033","(1, 1)",495.0495049504951,7.807985452958774,1.192014547041226,9
"scientistIncentives payoff 0.9, scientistIncentives citation 0.033, scientistIncentives exploration 0.033, scientistIncentives funding 0.033","(1, 2)",495.0495049504951,24.999867368725752,28.43886344273827,25
"scientistIncentives payoff 0.9, scientistIncentives citation 0.033, scientistIncentives exploration 0.033, scientistIncentives funding 0.033","(1, 3)",495.0495049504951,30.0,3.7139916081152506,30
"scientistIncentives payoff 0.9, scientistIncentives citation 0.033, scientistIncentives exploration 0.033, scientistIncentives funding 0.033","(1, 4)",495.0495049504951,0,3.947075439206947,29
"scientistIncentives payoff 0.9, scientistIncentives citation 0.033, scientistIncentives exploration 0.033, scientistIncentives funding 0.033","(1, 5)",495.0495049504951,0,0.5029056038101737,1
"scientistIncentives payoff 0.9, scientistIncentives citation 0.033, scientistIncentives exploration 0.033, scientistIncentives funding 0.033","(1, 6)",495.0495049504951,0,3.5354554115424213,27
"scientistIncentives payoff 0.9, scientistIncentives citation 0.033, scientistIncentives exploration 0.033, scientistIncentives funding 0.033","(1, 7)",495.0495049504951,6.017529913590087,29,17
"scientistIncentives payoff 0.9, scientistIncentives citation 0.033, scientistIncentives exploration 0.033, scientistIncentives funding 0.033","(1, 8)",495.0495049504951,0,23,0
"scientistIncentives payoff 0.9, scientistIncentives citation 0.033, scientistIncentives exploration 0.033, scientistIncentives funding 0.033","(1, 9)",495.0495049504951,0,20,7
"scientistIncentives payoff 0.9, scientistIncentives citation 0.033, scientistIncentives exploration 0.033, scientistIncentives funding 0.033","(2, 0)",495.0495049504951,0,4,18
"scientistIncentives payoff 0.9, scientistIncentives citation 0.033, scientistIncentives exploration 0.033, scientistIncentives funding 0.033","(2, 1)",495.0495049504951,0.5611365572617295,0.00013263127424839214,29
"scientistIncentives payoff 0.9, scientistIncentives citation 0.033, scientistIncentives exploration 0.033, scientistIncentives funding 0.033","(2, 2)",495.0495049504951,13.36377521756951,13.63622478243049,27
"scientistIncentives payoff 0.9, scientistIncentives citation 0.033, scientistIncentives exploration 0.033, scientistIncentives funding 0.033","(2, 3)",495.0495049504951,0,24,26
"scientistIncentives payoff 0.9, scientistIncentives citation 0.033, scientistIncentives exploration 0.033, scientistIncentives funding 0.033","(2, 4)",495.0495049504951,2.1420069764926364,28,5
"scientistIncentives payoff 0.9, scientistIncentives citation 0.033, scientistIncentives exploration 0.033, scientistIncentives funding 0.033","(2, 5)",495.0495049504951,0,4,0
"scientistIncentives payoff 0.9, scientistIncentives citation 0.033, scientistIncentives exploration 0.033, scientistIncentives funding 0.033","(2, 6)",495.0495049504951,0,1,0
"scientistIncentives payoff 0.9, scientistIncentives citation 0.033, scientistIncentives exploration 0.033, scientistIncentives funding 0.033","(2, 7)",495.0495049504951,0,11,18
"scientistIncentives payoff 0.9, scientistIncentives citation 0.033, scientistIncentives exploration 0.033, scientistIncentives funding 0.033","(2, 8)",495.0495049504951,0,11,13
"scientistIncentives payoff 0.9, scientistIncentives citation 0.033, scientistIncentives exploration 0.033, scientistIncentives funding 0.033","(2, 9)",495.0495049504951,0,17.89315872915754,0
"scientistIncentives payoff 0.9, scientistIncentives citation 0.033, scientistIncentives exploration 0.033, scientistIncentives funding 0.033","(3, 0)",495.0495049504951,4.160225691473444,0.05977750185512187,20
"scientistIncentives payoff 0.9, scientistIncentives citation 0.033, scientistIncentives exploration 0.033, scientistIncentives funding 0.033","(3, 1)",495.0495049504951,15.28600839188475,0.0,19
"scientistIncentives payoff 0.9, scientistIncentives citation 0.033, scientistIncentives exploration 0.033, scientistIncentives funding 0.033","(3, 2)",495.0495049504951,0,26,24
"scientistIncentives payoff 0.9, scientistIncentives citation 0.033, scientistIncentives exploration 0.033, scientistIncentives funding 0.033","(3, 3)",495.0495049504951,0,27,27
"scientistIncentives payoff 0.9, scientistIncentives citation 0.033, scientistIncentives exploration 0.033, scientistIncentives funding 0.033","(3, 4)",495.0495049504951,9.414708685916834,8,19
"scientistIncentives payoff 0.9, scientistIncentives citation 0.033, scientistIncentives exploration 0.033, scientistIncentives funding 0.033","(3, 5)",495.0495049504951,0,0.46029326372096135,2
"scientistIncentives payoff 0.9, scientistIncentives citation 0.033, scientistIncentives exploration 0.033, scientistIncentives funding 0.033","(3, 6)",495.0495049504951,0,16.640639450015332,6
"scientistIncentives payoff 0.9, scientistIncentives citation 0.033, scientistIncentives exploration 0.033, scientistIncentives funding 0.033","(3, 7)",495.0495049504951,0,14,4
"scientistIncentives payoff 0.9, scientistIncentives citation 0.033, scientistIncentives exploration 0.033, scientistIncentives funding 0.033","(3, 8)",495.0495049504951,28.0,0,28
"scientistIncentives payoff 0.9, scientistIncentives citation 0.033, scientistIncentives exploration 0.033, scientistIncentives funding 0.033","(3, 9)",495.0495049504951,0,3.641481271208033,1
"scientistIncentives payoff 0.9, scientistIncentives citation 0.033, scientistIncentives exploration 0.033, scientistIncentives funding 0.033","(4, 0)",495.0495049504951,0,12,13
"scientistIncentives payoff 0.9, scientistIncentives citation 0.033, scientistIncentives exploration 0.033, scientistIncentives funding 0.033","(4, 1)",495.0495049504951,2.052924560793053,29,6
"scientistIncentives payoff 0.9, scientistIncentives citation 0.033, scientistIncentives exploration 0.033, scientistIncentives funding 0.033","(4, 2)",495.0495049504951,0,2.8579930235073636,28
"scientistIncentives payoff 0.9, scientistIncentives citation 0.033, scientistIncentives exploration 0.033, scientistIncentives funding 0.033","(4, 3)",495.0495049504951,0,9.585291314083166,8
"scientistIncentives payoff 0.9, scientistIncentives citation 0.033, scientistIncentives exploration 0.033, scientistIncentives funding 0.033","(4, 4)",495.0495049504951,3.618261383825331,18.38173861617467,22
"scientistIncentives payoff 0.9, scientistIncentives citation 0.033, scientistIncentives exploration 0.033, scientistIncentives funding 0.033","(4, 5)",495.0495049504951,0,1.7382984226995473e-32,13
"scientistIncentives payoff 0.9, scientistIncentives citation 0.033, scientistIncentives exploration 0.033, scientistIncentives funding 0.033","(4, 6)",495.0495049504951,4.107789363301854,6,10
"scientistIncentives payoff 0.9, scientistIncentives citation 0.033, scientistIncentives exploration 0.033, scientistIncentives funding 0.033","(4, 7)",495.0495049504951,0,0.051923208194371843,0
"scientistIncentives payoff 0.9, scientistIncentives citation 0.033, scientistIncentives exploration 0.033, scientistIncentives funding 0.033","(4, 8)",495.0495049504951,19.135215522713885,22,26
"scientistIncentives payoff 0.9, scientistIncentives citation 0.033, scientistIncentives exploration 0.033, scientistIncentives funding 0.033","(4, 9)",495.0495049504951,0,26,6
"scientistIncentives payoff 0.9, scientistIncentives citation 0.033, scientistIncentives exploration 0.033, scientistIncentives funding 0.033","(5, 0)",495.0495049504951,15.524721999567568,20,26
"scientistIncentives payoff 0.9, scientistIncentives citation 0.033, scientistIncentives exploration 0.033, scientistIncentives funding 0.033","(5, 1)",495.0495049504951,0.4970943961898263,1,1
"scientistIncentives payoff 0.9, scientistIncentives citation 0.033, scientistIncentives exploration 0.033, scientistIncentives funding 0.033","(5, 2)",495.0495049504951,0,0,4
"scientistIncentives payoff 0.9, scientistIncentives citation 0.033, scientistIncentives exploration 0.033, scientistIncentives funding 0.033","(5, 3)",495.0495049504951,17.53970673627904,2,18
"scientistIncentives payoff 0.9, scientistIncentives citation 0.033, scientistIncentives exploration 0.033, scientistIncentives funding 0.033","(5, 4)",495.0495049504951,28.0,13,28
"scientistIncentives payoff 0.9, scientistIncentives citation 0.033, scientistIncentives exploration 0.033, scientistIncentives funding 0.033","(5, 5)",495.0495049504951,17.866889514116412,1.1331104858835885,19
"scientistIncentives payoff 0.9, scientistIncentives citation 0.033, scientistIncentives exploration 0.033, scientistIncentives funding 0.033","(5, 6)",495.0495049504951,0,12,8
"scientistIncentives payoff 0.9, scientistIncentives citation 0.033, scientistIncentives exploration 0.033, scientistIncentives funding 0.033","(5, 7)",495.0495049504951,2.9698965610266796,2.7553330849975763,28
"scientistIncentives payoff 0.9, scientistIncentives citation 0.033, scientistIncentives exploration 0.033, scientistIncentives funding 0.033","(5, 8)",495.0495049504951,0,0.79643142635754,22
"scientistIncentives payoff 0.9, scientistIncentives citation 0.033, scientistIncentives exploration 0.033, scientistIncentives funding 0.033","(5, 9)",495.0495049504951,0,29,30
"scientistIncentives payoff 0.9, scientistIncentives citation 0.033, scientistIncentives exploration 0.033, scientistIncentives funding 0.033","(6, 0)",495.0495049504951,0,0.8574821671616215,25
"scientistIncentives payoff 0.9, scientistIncentives citation 0.033, scientistIncentives exploration 0.033, scientistIncentives funding 0.033","(6, 1)",495.0495049504951,3.4645445884575787,27,7
"scientistIncentives payoff 0.9, scientistIncentives citation 0.033, scientistIncentives exploration 0.033, scientistIncentives funding 0.033","(6, 2)",495.0495049504951,0,0,1
"scientistIncentives payoff 0.9, scientistIncentives citation 0.033, scientistIncentives exploration 0.033, scientistIncentives funding 0.033","(6, 3)",495.0495049504951,12.359360549984668,6,29
"scientistIncentives payoff 0.9, scientistIncentives citation 0.033, scientistIncentives exploration 0.033, scientistIncentives funding 0.033","(6, 4)",495.0495049504951,0,5.892210636698146,6
"scientistIncentives payoff 0.9, scientistIncentives citation 0.033, scientistIncentives exploration 0.033, scientistIncentives funding 0.033","(6, 5)",495.0495049504951,0,8,12
"scientistIncentives payoff 0.9, scientistIncentives citation 0.033, scientistIncentives exploration 0.033, scientistIncentives funding 0.033","(6, 6)",495.0495049504951,0,26,26
"scientistIncentives payoff 0.9, scientistIncentives citation 0.033, scientistIncentives exploration 0.033, scientistIncentives funding 0.033","(6, 7)",495.0495049504951,0.9715150793759096,3.8242237188206416,1
"scientistIncentives payoff 0.9, scientistIncentives citation 0.033, scientistIncentives exploration 0.033, scientistIncentives funding 0.033","(6, 8)",495.0495049504951,0,12,27
"scientistIncentives payoff 0.9, scientistIncentives citation 0.033, scientistIncentives exploration 0.033, scientistIncentives funding 0.033","(6, 9)",495.0495049504951,0,0,8
