Percentage Payoff Discovered,Attrition,Attrition Rate
99.9999895623082,242,0.4782608695652174
99.99999865803204,228,0.4681724845995893
99.99960960072532,247,0.4805447470817121
99.99975051567908,272,0.5132075471698113
99.99955368627035,249,0.4779270633397313
99.99999762032324,243,0.48214285714285715
99.99996444273506,244,0.4765625
99.99983363343196,275,0.5159474671669794
99.99997867565575,235,0.46168958742632615
99.9999901425795,243,0.4899193548387097
99.99943302082313,215,0.4460580912863071
99.99985227433838,230,0.4722792607802875
99.99961147408924,251,0.498015873015873
99.9915029560201,243,0.4691119691119691
99.99962972569651,250,0.4854368932038835
99.99996075294776,216,0.4595744680851064
99.99996397959379,194,0.424507658643326
99.99993367721127,253,0.49803149606299213
99.99997436521609,228,0.4789915966386555
99.9999336291816,244,0.48031496062992124
99.9999644321555,260,0.5088062622309197
99.99998964640852,258,0.5078740157480315
99.99999185755968,242,0.4869215291750503
99.99999152004513,220,0.4661016949152542
99.99998527771578,233,0.4623015873015873
99.99883830493764,228,0.47107438016528924
99.99988144979142,224,0.47558386411889597
99.99903419564919,252,0.499009900990099
99.9999773502927,214,0.44863731656184486
99.99995836888469,232,0.4715447154471545
99.99993162956251,228,0.4691358024691358
99.99984315030947,245,0.4870775347912525
99.99999368155676,229,0.45436507936507936
99.99997856665422,235,0.4681274900398406
99.99991885426566,266,0.5057034220532319
99.99983342142575,239,0.4714003944773176
99.99997381600586,253,0.48007590132827327
99.99987960620928,207,0.44042553191489364
99.9997319310329,231,0.47433264887063653
99.99993796089673,229,0.4692622950819672
99.99999814931441,229,0.4607645875251509
99.9998733982779,224,0.45714285714285713
99.9999424305961,213,0.451271186440678
99.99996966363454,211,0.44989339019189767
99.99980066642642,227,0.4799154334038055
99.99998996544102,208,0.44539614561027835
99.99996022334085,217,0.4587737843551797
99.999742466331,214,0.46220302375809935
99.99949235509196,216,0.45665961945031713
99.99889475174776,223,0.46458333333333335
99.99995670880368,228,0.4769874476987448
99.99998101464271,260,0.5118110236220472
99.99998135794557,233,0.4688128772635815
99.99995972016896,233,0.4678714859437751
99.99994650220286,212,0.4317718940936864
99.99990170664628,221,0.46624472573839665
99.99973421549728,233,0.4784394250513347
99.99993825453981,216,0.4472049689440994
99.99998204059924,222,0.4693446088794926
99.99990752086565,234,0.484472049689441
99.99990752016973,248,0.505091649694501
99.99987415364473,228,0.46060606060606063
99.99993603332403,202,0.4344086021505376
99.99998256023588,249,0.49700598802395207
99.99995898943814,262,0.5028790786948176
99.99990972942268,285,0.525830258302583
99.999970227908,200,0.44052863436123346
99.99981257002159,240,0.47713717693836977
99.99920399271227,269,0.5085066162570888
99.99993122917967,249,0.4779270633397313
99.99997208777674,201,0.4388646288209607
99.99994280091343,210,0.4393305439330544
99.99996406888452,218,0.45134575569358176
99.99981216075338,198,0.43805309734513276
99.99999747560393,196,0.42424242424242425
99.9999773215351,258,0.5048923679060665
99.99998283012957,227,0.4670781893004115
99.99988934799184,216,0.453781512605042
99.99999614827037,221,0.4575569358178054
99.99999591784594,254,0.49224806201550386
99.99976596379918,209,0.4475374732334047
99.99999110671605,247,0.4731800766283525
99.9999034103012,232,0.47443762781186094
99.99999022264065,235,0.47474747474747475
99.99999767592098,233,0.45956607495069035
99.99989534034388,231,0.4714285714285714
99.99999399594167,245,0.48902195608782434
99.99999057926304,235,0.47283702213279677
99.99841332940233,245,0.48902195608782434
99.9999569875252,231,0.4733606557377049
99.99961159206394,213,0.4570815450643777
99.99913021462027,219,0.47300215982721383
99.99997355660584,201,0.4267515923566879
99.99991880732036,224,0.46764091858037576
99.99998167251417,225,0.4716981132075472
99.99982589770123,226,0.46887966804979253
99.99877983432508,246,0.48616600790513836
99.99970134313463,219,0.453416149068323
99.99995255397212,207,0.458980044345898
99.9989657300204,216,0.45569620253164556
