Input,ID,Total Funding Accumulated,starFactor,Citation Count
scientistIncentives funding 1,122,9,0.16666666666666652,13
scientistIncentives funding 1,125,8,-1.5,9
scientistIncentives funding 1,126,2,-0.6666666666666665,2
scientistIncentives funding 1,100,66.3766917398965,0.4315062051728722,24
scientistIncentives funding 1,101,83.51693260082834,1.371514008316141,30
scientistIncentives funding 1,127,7,-0.5,19
scientistIncentives funding 1,128,5,3.0,9
scientistIncentives funding 1,91,59.055494516653795,0.7114882569154521,33
scientistIncentives funding 1,129,1,-1.375,2
scientistIncentives funding 1,130,1,18.0,10
scientistIncentives funding 1,131,9,-0.9230769230769229,10
scientistIncentives funding 1,132,0,4.0,10
scientistIncentives funding 1,114,45.40120766410901,-0.019315880642656325,24
scientistIncentives funding 1,134,9,-0.9230769230769229,3
scientistIncentives funding 1,136,2,-1.2307692307692308,8
scientistIncentives funding 1,137,10,-0.5263157894736841,23
scientistIncentives funding 1,142,2,0.0,2
scientistIncentives funding 1,118,73.58957735999161,0.9222444309677864,31
scientistIncentives funding 1,93,82.50280933701414,1.3710583658012867,34
scientistIncentives funding 1,140,38.812731337044326,-0.2963635052558309,23
scientistIncentives funding 1,121,35.99891438353358,0.16125530272838473,34
scientistIncentives funding 1,143,3,-1.5714285714285714,4
scientistIncentives funding 1,139,32.914084919427154,-0.13180371227654364,30
scientistIncentives funding 1,145,10,-1.35,13
scientistIncentives funding 1,146,7,-1.0,4
scientistIncentives funding 1,113,42.53654976121432,0.3076306560160411,40
scientistIncentives funding 1,149,2,-0.4285714285714284,7
scientistIncentives funding 1,151,1,-1.375,8
scientistIncentives funding 1,152,6,-0.5454545454545454,8
scientistIncentives funding 1,138,31.091427326358982,-0.2873733076692919,32
scientistIncentives funding 1,108,27.922825200070616,-1.2605540115575928,17
scientistIncentives funding 1,133,36.43054865228036,0.07840479526907229,34
scientistIncentives funding 1,135,48.12932758772267,0.10094605121832778,29
scientistIncentives funding 1,141,53.338890069346036,0.3980287120593151,28
scientistIncentives funding 1,155,10,-1.3333333333333333,2
scientistIncentives funding 1,156,3,-0.75,13
scientistIncentives funding 1,80,40.63093976112203,-1.3663702224633831,7
scientistIncentives funding 1,82,78.94461365517088,1.4820843391454073,46
scientistIncentives funding 1,158,2,-0.5,13
scientistIncentives funding 1,147,40.74456363703523,0.12079237538823318,24
scientistIncentives funding 1,162,1,-0.25,2
scientistIncentives funding 1,163,4,1.5,7
scientistIncentives funding 1,165,5,2.5,3
scientistIncentives funding 1,104,111.62583371695908,2.0524482456176534,34
scientistIncentives funding 1,123,29.964298940679804,0.2569128691135072,46
scientistIncentives funding 1,109,82.8217676033597,0.6716699422032422,20
scientistIncentives funding 1,166,34.05815110630173,-0.15941448044188,30
scientistIncentives funding 1,170,0,-1.2857142857142858,2
scientistIncentives funding 1,144,30.989136947466502,-0.4842213887910449,31
scientistIncentives funding 1,175,7,-0.875,11
scientistIncentives funding 1,124,84.70597120316769,1.5389022970404422,35
scientistIncentives funding 1,159,35.12330320758235,-0.28634505781965114,21
scientistIncentives funding 1,117,69.2085254436965,0.8131782776058367,35
scientistIncentives funding 1,160,46.13947508737678,0.23030564798101993,32
scientistIncentives funding 1,173,33.74048468813044,-0.16966178425385703,25
scientistIncentives funding 1,161,45.67436205082144,0.6346568403770929,37
scientistIncentives funding 1,169,68.53887213590816,0.5335120043850687,19
scientistIncentives funding 1,179,2,-0.20000000000000018,6
scientistIncentives funding 1,181,0,-1.6666666666666667,7
scientistIncentives funding 1,168,52.98544802327045,0.22533703300872476,26
scientistIncentives funding 1,184,5,-0.8333333333333335,7
scientistIncentives funding 1,187,6,-1.3636363636363635,9
scientistIncentives funding 1,171,37.145305531207775,0.4203120900715893,17
scientistIncentives funding 1,177,24.575324858082766,-0.8008812550684681,23
scientistIncentives funding 1,164,27.868478474000167,-0.6253105488542503,16
scientistIncentives funding 1,157,43.05741335170578,-0.22009580178796107,20
scientistIncentives funding 1,183,13.915165396397917,-1.0493106638000946,17
scientistIncentives funding 1,154,40.5568512405322,-0.17215743795983895,14
scientistIncentives funding 1,172,24.725842929577553,-0.12126507668231001,34
scientistIncentives funding 1,178,31.681538229249036,-0.547087920383913,18
scientistIncentives funding 1,187,6,-1.499999999999961,9
scientistIncentives funding 1,180,33.985324222352844,0.09926621111817013,8
scientistIncentives funding 1,185,16.034891421549272,-0.558604343138029,28
scientistIncentives funding 1,148,69.59502195444519,1.383800878192698,31
scientistIncentives funding 1,182,28.81564809237634,-0.17690843931220623,17
scientistIncentives funding 1,167,21.721104948241884,-0.2759631683896493,34
scientistIncentives funding 1,153,70.65160199717195,0.8712154618747863,22
scientistIncentives funding 1,115,70.43724418655664,0.40120143613058,33
scientistIncentives funding 1,174,41.66230221065733,-0.4939888070121006,15
scientistIncentives funding 1,186,34.544523510014336,0.2794267966671984,34
scientistIncentives funding 1,176,53.857817570577076,0.31635062752061227,26
scientistIncentives funding 1,150,61.32995001008712,0.813198002569568,28
scientistIncentives funding 1,193,9,14.0,4
scientistIncentives funding 1,195,1,0.3333333333333335,3
scientistIncentives funding 1,197,6,-0.5333333333333332,13
scientistIncentives funding 1,198,10,0.0625,20
scientistIncentives funding 1,199,3,-0.7777777777777777,4
scientistIncentives funding 1,200,1,-1.5,7
scientistIncentives funding 1,205,8,-0.8888888888888888,20
scientistIncentives funding 1,206,1,-0.75,11
scientistIncentives funding 1,207,5,1.666666666666667,6
scientistIncentives funding 1,210,3,-1.3846153846153846,15
scientistIncentives funding 1,211,4,2.333333333333333,7
scientistIncentives funding 1,204,30.833206442992985,0.12615691369825255,33
scientistIncentives funding 1,216,2,-0.75,11
scientistIncentives funding 1,189,22.71299485973954,-0.7722214816253321,26
scientistIncentives funding 1,192,19.203480433446533,-0.546644230103003,28
scientistIncentives funding 1,220,1,-0.7999999999999998,7
scientistIncentives funding 1,221,4,-1.1818181818181819,13
scientistIncentives funding 1,217,21.27123868203696,-0.5488080060348621,31
scientistIncentives funding 1,208,26.726445182225394,0.20199576736142255,23
scientistIncentives funding 1,191,46.70358200975068,1.0314109155778928,24
scientistIncentives funding 1,223,10,9.0,1
scientistIncentives funding 1,225,5,-0.7999999999999998,14
scientistIncentives funding 1,226,7,0.375,10
scientistIncentives funding 1,228,5,5.0,2
scientistIncentives funding 1,222,42.78673599341184,-0.03945191569990136,28
scientistIncentives funding 1,201,49.88801170639174,0.45003240646204157,19
scientistIncentives funding 1,202,38.113038085334864,0.4738204289759631,19
scientistIncentives funding 1,231,24.31890217672318,-0.5272087127938931,29
scientistIncentives funding 1,233,8,-0.875,1
scientistIncentives funding 1,235,2,4.5,3
scientistIncentives funding 1,236,10,-0.7647058823529411,9
scientistIncentives funding 1,237,8,0.16666666666666652,2
scientistIncentives funding 1,190,44.776575836897585,0.6976339606378388,33
scientistIncentives funding 1,213,44.50918303036782,0.2608201543138837,32
scientistIncentives funding 1,214,32.19218421745638,-0.3026168697028506,26
scientistIncentives funding 1,238,8,-0.25,5
scientistIncentives funding 1,239,7,-0.8235294117647061,19
scientistIncentives funding 1,240,4,-1.4,15
scientistIncentives funding 1,212,86.69794322682776,1.365240151734608,34
scientistIncentives funding 1,242,3,-0.75,2
scientistIncentives funding 1,243,0,-1.3333333333333333,3
scientistIncentives funding 1,209,69.70842501703058,1.1568698670577433,18
scientistIncentives funding 1,218,59.45886602268406,0.21131107256767967,19
scientistIncentives funding 1,247,0,-1.2,7
scientistIncentives funding 1,249,1,1.0,4
scientistIncentives funding 1,227,52.31035996605144,0.04320187443022094,18
