Input,Location,Funds,Payoff Extracted
,"(0, 0)",546.4029201186935,22.99997535797576
,"(0, 1)",473.4976173425563,8.0
,"(0, 2)",441.13416994551653,27.9999999982315
,"(0, 3)",515.1659995770752,18.999999998520423
,"(0, 4)",453.8644448259329,20.9999999999996
,"(0, 5)",537.8891405159251,0
,"(0, 6)",449.7735314505509,0
,"(0, 7)",500.1066752893746,28.999999999999265
,"(0, 8)",545.9358484150486,25.999999999999897
,"(0, 9)",492.5023016824515,3.9999999930393697
,"(1, 0)",487.88840980895355,21.999998918517672
,"(1, 1)",521.3389785007536,5.9999999999904015
,"(1, 2)",471.83315493181595,28.99999986133495
,"(1, 3)",514.964899901598,19.99999999996448
,"(1, 4)",509.87814294623445,10.999999936037575
,"(1, 5)",526.7049414221713,6.0
,"(1, 6)",544.2997978772647,25.99999989910134
,"(1, 7)",525.9912664056077,8.999999989197267
,"(1, 8)",511.0269370761039,27.99999971159506
,"(1, 9)",556.4048850070475,21.999998401888835
,"(2, 0)",522.0192802398094,17.999999999586894
,"(2, 1)",463.9209552903508,10.999999999999998
,"(2, 2)",494.18393264471547,27.999999999970807
,"(2, 3)",530.8632138505048,20.999999998248786
,"(2, 4)",543.9578710753406,19.99999999909872
,"(2, 5)",493.2461782419136,0.9999999918714465
,"(2, 6)",512.5353396532921,0
,"(2, 7)",510.0900921913225,17.999999999500496
,"(2, 8)",438.4727578451905,8.999999994668947
,"(2, 9)",493.08552786465543,15.99999999829347
,"(3, 0)",466.41207777758217,16.999999999997915
,"(3, 1)",544.0267845982545,18.999999999999975
,"(3, 2)",507.6114182855311,12.999999999998867
,"(3, 3)",504.57864471650726,2.99999999999981
,"(3, 4)",487.2704690274127,23.99999999999971
,"(3, 5)",507.06799598183875,25.999999999983636
,"(3, 6)",460.65055999406945,0.9999999999933923
,"(3, 7)",412.31673285641637,2.9999999997647615
,"(3, 8)",485.67650332626386,18.99999999783402
,"(3, 9)",511.93142725463065,10.999997359308987
,"(4, 0)",577.0834412203063,9.999999998310901
,"(4, 1)",530.8466000135809,1.9999999444204106
,"(4, 2)",474.98579132245607,9.999999981499545
,"(4, 3)",483.6856742772499,17.999999999699373
,"(4, 4)",519.1354014850475,3.9999909804015568
,"(4, 5)",571.7843677014733,21.9999999458002
,"(4, 6)",585.7959353276883,10.999999978568178
