Input,ID,Total Funding Accumulated,starFactor,Citation Count
scientistIncentives exploration 1,122,37.705062032468135,-0.42886896642557515,22
scientistIncentives exploration 1,113,47.41894714009017,0.2393208793374888,27
scientistIncentives exploration 1,121,31.85480948872928,-0.3272642100333978,28
scientistIncentives exploration 1,88,122.62004717119989,1.5038755955726826,11
scientistIncentives exploration 1,94,83.2005031295647,0.8774356464411421,18
scientistIncentives exploration 1,112,78.12409323632443,0.4556159151841812,15
scientistIncentives exploration 1,127,4,0.6666666666666665,3
scientistIncentives exploration 1,129,5,-1.8888888888888888,1
scientistIncentives exploration 1,130,4,-1.2857142857142858,11
scientistIncentives exploration 1,131,7,-0.3333333333333335,3
scientistIncentives exploration 1,107,88.23680161954739,0.9108645716000594,19
scientistIncentives exploration 1,124,22.800237910938378,-0.4257987770660199,34
scientistIncentives exploration 1,133,9,-0.9473684210526314,21
scientistIncentives exploration 1,118,53.873076597649096,0.028163761220571626,20
scientistIncentives exploration 1,105,104.2391234284907,1.459326562402075,16
scientistIncentives exploration 1,78,187.19263312942394,3.8126788575105683,22
scientistIncentives exploration 1,132,23.277493497998744,-0.6684679516763947,28
scientistIncentives exploration 1,136,9,-1.3157894736842106,12
scientistIncentives exploration 1,123,45.09933298373755,-0.3193763553383686,17
scientistIncentives exploration 1,128,44.1306781025065,0.06873155169391021,29
scientistIncentives exploration 1,134,18.17737094001511,-0.6071815825801545,22
scientistIncentives exploration 1,140,9,-0.7000000000000002,2
scientistIncentives exploration 1,141,6,-0.5714285714285716,15
scientistIncentives exploration 1,143,5,-0.5,3
scientistIncentives exploration 1,144,1,-0.6000000000000001,14
scientistIncentives exploration 1,146,2,9.0,6
scientistIncentives exploration 1,106,90.2052652261177,0.9098472703554794,17
scientistIncentives exploration 1,117,106.72968331339128,1.3783768836157284,13
scientistIncentives exploration 1,149,6,-0.4285714285714284,16
scientistIncentives exploration 1,108,106.39647713091631,1.5934347484597886,20
scientistIncentives exploration 1,152,3,1.5,3
scientistIncentives exploration 1,90,198.39899164535572,4.464486555932707,28
scientistIncentives exploration 1,153,5,-1.2857142857142858,9
scientistIncentives exploration 1,154,1,-0.75,3
scientistIncentives exploration 1,137,29.901688638287002,-0.0031713342485231166,35
scientistIncentives exploration 1,101,127.04613390217406,1.6789077439338698,6
scientistIncentives exploration 1,147,34.604894113912756,-0.012745351163835572,29
scientistIncentives exploration 1,156,6,0.75,2
scientistIncentives exploration 1,157,3,-1.3333333333333333,5
scientistIncentives exploration 1,159,9,-1.0,10
scientistIncentives exploration 1,155,41.741857190571935,-0.3309078325619823,21
scientistIncentives exploration 1,138,29.69230941079272,-0.8486351802958598,19
scientistIncentives exploration 1,162,5,0.6666666666666665,2
scientistIncentives exploration 1,164,2,-0.5,8
scientistIncentives exploration 1,167,0,-1.0,8
scientistIncentives exploration 1,126,82.84234126056228,1.2529787503420176,30
scientistIncentives exploration 1,139,33.231048487071746,-0.7022242423525236,17
scientistIncentives exploration 1,168,1,-1.0,13
scientistIncentives exploration 1,169,5,-0.27272727272727293,12
scientistIncentives exploration 1,110,97.14449389171182,0.9724030324292499,14
scientistIncentives exploration 1,170,0,-2.3636363636363638,4
scientistIncentives exploration 1,171,4,-1.2666666666666666,16
scientistIncentives exploration 1,173,3,0.6666666666666665,3
scientistIncentives exploration 1,125,79.49371574143461,0.7256037336021506,21
scientistIncentives exploration 1,178,9,-0.875,10
scientistIncentives exploration 1,142,52.229227277116195,0.265458944423115,29
scientistIncentives exploration 1,165,45.721700315271185,0.28134517146036186,31
scientistIncentives exploration 1,179,2,-1.9090909090909092,8
scientistIncentives exploration 1,161,34.05265095553983,-0.22410803369226162,27
scientistIncentives exploration 1,180,9,-0.736842105263158,16
scientistIncentives exploration 1,148,92.95874367945983,1.3535078606279818,15
scientistIncentives exploration 1,181,4,-0.25,7
scientistIncentives exploration 1,119,118.01598562923554,1.9359995365746334,20
scientistIncentives exploration 1,174,13.610550063334648,-1.1086113607575159,14
scientistIncentives exploration 1,158,48.24351039690232,0.2184795998710123,14
scientistIncentives exploration 1,175,26.311857193503638,-0.5896047602165453,28
scientistIncentives exploration 1,165,45.721700315271185,0.17880313485222565,31
scientistIncentives exploration 1,150,50.29035808574254,0.2513916581292208,27
scientistIncentives exploration 1,160,45.61358974194871,0.7755662392478784,22
scientistIncentives exploration 1,145,53.97136436778942,0.8248419290343714,18
scientistIncentives exploration 1,166,25.72129563952918,-0.34494601501961464,19
scientistIncentives exploration 1,176,21.598976493079793,-0.7250426461216755,18
scientistIncentives exploration 1,177,36.93052716859606,-0.04649881875669326,11
scientistIncentives exploration 1,179,2,-1.9999999999999625,8
scientistIncentives exploration 1,151,47.16379165555773,0.2568246523149078,23
scientistIncentives exploration 1,172,41.416766071123355,0.25667064284493435,22
scientistIncentives exploration 1,135,79.12418928091952,1.1649675712369127,18
scientistIncentives exploration 1,161,34.05265095553983,-0.3108546576393785,27
scientistIncentives exploration 1,180,9,-0.7999999999999998,17
scientistIncentives exploration 1,163,49.043450219768424,0.4090166748063604,22
scientistIncentives exploration 1,148,92.95874367945983,1.2799607399833572,17
scientistIncentives exploration 1,181,4,-0.44444444444444464,8
scientistIncentives exploration 1,188,5,-0.8461538461538463,12
scientistIncentives exploration 1,190,10,-0.9047619047619047,19
scientistIncentives exploration 1,193,2,14.0,11
scientistIncentives exploration 1,194,3,-0.6666666666666665,3
scientistIncentives exploration 1,200,8,-0.375,4
scientistIncentives exploration 1,201,8,-1.0909090909090908,8
scientistIncentives exploration 1,202,10,-1.0833333333333333,9
scientistIncentives exploration 1,207,8,-0.8947368421052633,17
scientistIncentives exploration 1,208,2,2.0,7
scientistIncentives exploration 1,209,4,0.20000000000000018,4
scientistIncentives exploration 1,191,30.766585390907448,-0.10430369706750175,26
scientistIncentives exploration 1,192,40.993121199179704,0.21844151256444322,25
