Input,ID,Total Funding Accumulated,starFactor,Citation Count
scientistIncentives citation 1,62,9.624341328371504,-1.549130666843875,16
scientistIncentives citation 1,123,7,-0.8125,14
scientistIncentives citation 1,63,13.56628890241355,0.3731060936262436,78
scientistIncentives citation 1,129,9,6.0,7
scientistIncentives citation 1,125,22.000050321180623,-0.4838693444780442,25
scientistIncentives citation 1,118,18.766419137234138,-0.49140583428276985,41
scientistIncentives citation 1,132,2,-0.3333333333333335,13
scientistIncentives citation 1,96,15.63150691694091,0.5365002231271259,80
scientistIncentives citation 1,113,19.022863487402468,-0.12829472621282356,52
scientistIncentives citation 1,135,1,-1.75,6
scientistIncentives citation 1,136,4,0.3333333333333335,4
scientistIncentives citation 1,103,9.939712156389756,-0.034202833664846555,61
scientistIncentives citation 1,138,4,-1.2857142857142858,4
scientistIncentives citation 1,131,27.124660769301304,0.26208583126778384,48
scientistIncentives citation 1,139,4,-1.5,3
scientistIncentives citation 1,98,10.69060474493167,0.4416324111268284,79
scientistIncentives citation 1,114,18.08196131539323,0.06716004243203955,50
scientistIncentives citation 1,115,18.08196131539323,-0.48122705434215396,46
scientistIncentives citation 1,128,21.124711090481927,0.10079713195102968,48
scientistIncentives citation 1,130,26.124711090481927,-0.060493190629615334,43
scientistIncentives citation 1,142,7,-0.6923076923076925,6
scientistIncentives citation 1,145,9,-0.4615384615384617,16
scientistIncentives citation 1,146,10,-0.7222222222222223,9
scientistIncentives citation 1,126,9.125023366880795,-0.23214174443424795,38
scientistIncentives citation 1,147,4,-1.5,5
scientistIncentives citation 1,141,24.000312276398866,-0.7419254104387467,22
scientistIncentives citation 1,99,12.724678228217401,0.6362799428457224,88
scientistIncentives citation 1,107,9.102578303687475,-0.1257232805262105,67
scientistIncentives citation 1,137,9.001232337727728,-1.624922978892017,9
scientistIncentives citation 1,127,9.125403233186608,-0.7455213131004781,30
scientistIncentives citation 1,153,10,-1.25,12
scientistIncentives citation 1,133,9.060576885820737,-1.121213944636204,7
scientistIncentives citation 1,140,9.001626094188838,-1.0475416145624363,13
scientistIncentives citation 1,112,9.083587409582067,-0.27297974449717,47
scientistIncentives citation 1,144,9.001021490073226,-1.1999319006617848,8
scientistIncentives citation 1,155,4,-0.20000000000000018,7
scientistIncentives citation 1,134,24.060723922179598,-0.22384761541356157,32
scientistIncentives citation 1,158,10,0.375,10
scientistIncentives citation 1,159,7,-0.5294117647058822,17
scientistIncentives citation 1,124,15.126630143463306,-0.7378506405334417,37
scientistIncentives citation 1,143,9.00146385211185,-1.3332113456573458,4
scientistIncentives citation 1,160,6,-0.6000000000000001,2
scientistIncentives citation 1,163,1,-1.3333333333333333,3
scientistIncentives citation 1,120,15.8929927461589,-0.1647421694787452,51
scientistIncentives citation 1,152,9.001226910276698,-0.41169253468960587,18
scientistIncentives citation 1,165,5,1.25,4
scientistIncentives citation 1,166,7,14.0,4
scientistIncentives citation 1,154,9.000369532720711,-1.7999630467279288,2
scientistIncentives citation 1,148,21.001606776582513,-0.5805933297876607,32
scientistIncentives citation 1,168,8,3.666666666666667,8
scientistIncentives citation 1,172,9,0.0,6
scientistIncentives citation 1,150,20.00147540449122,-0.7418878901777028,19
scientistIncentives citation 1,173,3,2.0,7
scientistIncentives citation 1,178,1,-1.875,4
scientistIncentives citation 1,171,23.000074150460495,-0.3548363177270808,28
scientistIncentives citation 1,182,5,-0.75,17
scientistIncentives citation 1,183,10,-1.25,2
scientistIncentives citation 1,101,92.36535722245587,50.656947007176,1559
scientistIncentives citation 1,176,27.000116556882965,-0.09677043364893656,32
scientistIncentives citation 1,177,25.000116556882965,-0.6774155949392591,20
scientistIncentives citation 1,186,10,-1.1428571428571428,12
scientistIncentives citation 1,188,2,-0.5,5
scientistIncentives citation 1,161,9.19889301794445,-1.5643252493591269,18
scientistIncentives citation 1,162,21.72016662324082,-0.46063978634707015,36
scientistIncentives citation 1,156,9.720437676186116,-0.7854346510824493,25
scientistIncentives citation 1,179,9.719843978565805,-0.2523196939564767,23
scientistIncentives citation 1,189,3,-1.3571428571428572,5
scientistIncentives citation 1,174,9.719908309442367,-0.7140774700206531,26
scientistIncentives citation 1,175,15.7199181290263,-0.6541961893862487,32
scientistIncentives citation 1,190,4,-0.6666666666666665,13
scientistIncentives citation 1,170,19.595015792492664,0.08371018685460196,57
scientistIncentives citation 1,194,6,-0.9285714285714284,6
scientistIncentives citation 1,195,8,-0.9375,11
scientistIncentives citation 1,197,4,2.333333333333333,6
scientistIncentives citation 1,198,3,-1.0,14
scientistIncentives citation 1,149,10.228200535038178,-1.1861870795148974,22
scientistIncentives citation 1,199,5,-1.2307692307692308,7
scientistIncentives citation 1,164,9.5954265823829,-0.4949775482956369,33
scientistIncentives citation 1,193,23.000189600325985,-0.3870906580540008,30
scientistIncentives citation 1,200,1,-1.8888888888888888,4
scientistIncentives citation 1,181,22.595131242358153,0.27726229814058545,52
scientistIncentives citation 1,208,9,0.0,5
scientistIncentives citation 1,157,11.348150672975175,-0.47264030087176856,44
scientistIncentives citation 1,209,3,1.333333333333333,4
scientistIncentives citation 1,212,7,-1.4375,11
scientistIncentives citation 1,202,24.752660167342093,-0.00797870427928693,45
scientistIncentives citation 1,169,16.80840740262488,0.18736798072983474,58
scientistIncentives citation 1,180,9.808333252164381,0.3632716019320137,59
scientistIncentives citation 1,151,12.809882807116098,-0.07064894170593217,59
scientistIncentives citation 1,207,21.06456245361575,-0.5463044369801371,37
scientistIncentives citation 1,210,26.06435119581875,0.03433390954254012,45
scientistIncentives citation 1,167,13.41246525019401,-0.18024305644535454,57
scientistIncentives citation 1,204,9.160450291911207,0.35802251459556,43
scientistIncentives citation 1,206,23.16045029191121,0.13420807393262013,43
scientistIncentives citation 1,217,29.09588783829546,-0.0614229729582112,42
scientistIncentives citation 1,187,9.507896295696076,0.8835965431898689,88
scientistIncentives citation 1,201,9.919293162058345,0.1351480400709777,68
scientistIncentives citation 1,223,5,-0.7142857142857144,8
scientistIncentives citation 1,203,18.91929316205835,-0.13163570444973072,52
scientistIncentives citation 1,219,9.007296129897782,-0.2720639881911109,10
scientistIncentives citation 1,225,2,14.0,11
scientistIncentives citation 1,226,6,-1.8333333333333333,2
scientistIncentives citation 1,227,9,-0.8333333333333335,11
scientistIncentives citation 1,215,20.103443692233917,-0.5127921389601959,31
scientistIncentives citation 1,191,9.920644655720743,-0.469311844809309,51
scientistIncentives citation 1,192,12.920644655720743,-0.06707597884771799,59
scientistIncentives citation 1,185,10.515452149634534,0.500498456439824,84
scientistIncentives citation 1,228,0,0.0,4
scientistIncentives citation 1,230,2,-2.4545454545454546,2
scientistIncentives citation 1,213,9.819847119219666,0.5694656378536669,45
scientistIncentives citation 1,196,9.920644655720743,-0.3077980584469242,44
scientistIncentives citation 1,231,3,-1.375,4
scientistIncentives citation 1,184,13.571131696106079,0.47003650632600236,84
scientistIncentives citation 1,232,2,0.0,9
scientistIncentives citation 1,236,3,4.0,2
scientistIncentives citation 1,211,17.168368390195337,-0.3816655358001504,40
scientistIncentives citation 1,216,9.103212021975345,-1.5233404692955679,8
scientistIncentives citation 1,237,1,3.0,8
scientistIncentives citation 1,239,1,-1.4285714285714286,4
scientistIncentives citation 1,220,9.008129356081124,-0.823051214348169,12
scientistIncentives citation 1,240,7,-0.8333333333333335,5
scientistIncentives citation 1,241,7,-0.7222222222222223,20
scientistIncentives citation 1,242,8,-1.0,3
scientistIncentives citation 1,222,9.001450279999098,-1.499927486000045,14
scientistIncentives citation 1,246,4,-1.0,3
scientistIncentives citation 1,247,4,-0.8333333333333335,7
scientistIncentives citation 1,249,3,1.25,7
scientistIncentives citation 1,250,3,-1.5,7
scientistIncentives citation 1,251,0,-1.5714285714285714,8
scientistIncentives citation 1,253,8,-1.0526315789473684,20
scientistIncentives citation 1,254,5,-1.4375,14
scientistIncentives citation 1,256,10,-0.15384615384615374,16
scientistIncentives citation 1,205,9.169101380031545,-0.8085518007395724,39
scientistIncentives citation 1,235,16.000521732039214,-0.9677251054180895,20
scientistIncentives citation 1,218,9.008286304535892,-1.4441375442764484,11
scientistIncentives citation 1,243,29.000117095184414,-0.1290284808005029,30
scientistIncentives citation 1,258,8,-0.9411764705882355,13
scientistIncentives citation 1,238,14.000513763563696,-1.0644995560140744,22
scientistIncentives citation 1,221,15.002257127518295,-0.8665914290827237,23
scientistIncentives citation 1,256,10,-0.3571428571428572,16
scientistIncentives citation 1,257,25,-0.2068965517241379,25
scientistIncentives citation 1,205,9.169101380031545,-0.886817807856016,39
scientistIncentives citation 1,233,12.00052173203921,-1.1199791307184315,19
scientistIncentives citation 1,234,18.000521732039214,-0.7586026988951993,29
scientistIncentives citation 1,235,16.000521732039214,-1.0312336958737744,20
scientistIncentives citation 1,252,26.000087745167363,-0.6451584598333109,24
scientistIncentives citation 1,218,9.008286304535892,-1.4997040605522896,11
scientistIncentives citation 1,243,29.000117095184414,-0.21874634077548727,30
scientistIncentives citation 1,244,14.000117095184414,-0.3636310411279813,23
scientistIncentives citation 1,229,20.001095234181882,-0.5768809525314662,25
