Experiment,Time Step,Raw Payoff
1,1,316.39294393813867
1,2,223.37870459341883
1,3,167.79796369950827
1,4,111.20621148889597
1,5,85.18861527821218
1,6,94.54454530086991
1,7,43.79256590889793
1,8,36.723813475892484
1,9,60.540918071467104
1,10,14.85315503814445
1,11,28.155553769942117
1,12,18.205638343766395
1,13,9.619000201603967
1,14,15.562325994645562
1,15,6.77689110745041
1,16,3.5370440762003454
1,17,4.342533034296366
1,18,5.926306449753156
1,19,0.39312821747626003
1,20,4.02490699684131
1,21,0.2614982215884538
1,22,2.745154129873299
1,23,3.139166720972753
1,24,0.6555489296215455
1,25,0.23110606178124726
1,26,0.184228390536191
1,27,0.37309166119280235
1,28,0.7821696907858495
1,29,0.4557746893406147
1,30,0.08254651586526052
1,31,0.008848123205552838
1,32,0.02694990460850022
1,33,0.04029189314132964
1,34,0.022414687894524832
1,35,0.0004534323702500842
1,36,0.006626244339713594
1,37,0.003972236088884529
1,38,0.0011877161796292057
1,39,0.0002904941511587822
1,40,0.001634133790503256
1,41,0.003139345184308695
1,42,0.0020058533259543765
1,43,0.000755417580194262
1,44,0.0002640637860622519
1,45,4.9937624908125144e-05
1,46,0.0045514981727592385
1,47,9.813225233301637e-05
1,48,0.00044036735903318913
1,49,1.5867727370277862e-05
1,50,0.0004011154503587022
2,1,397.1989997078887
2,2,263.09473548446783
2,3,208.41047826057616
2,4,200.0713853663849
2,5,92.78398369944489
2,6,51.25159788422161
2,7,25.55188651018807
2,8,76.95891015730763
2,9,20.388625177825816
2,10,10.432982848402162
2,11,14.033923904329868
2,12,12.47334332685
2,13,37.69828369466268
2,14,19.58810317703319
2,15,34.48315853822646
2,16,5.688429830335281
2,17,2.4381056231616185
2,18,0.5772685437202654
2,19,2.126576605839091
2,20,1.2905793777420058
2,21,0.3159307960213482
2,22,1.9648133182847687
2,23,0.1898743414421915
2,24,0.6646986912874127
2,25,0.06417136256618505
2,26,0.12078591055319521
2,27,0.4796057881933393
2,28,0.056652156994687175
2,29,0.3589833123257904
2,30,0.011610782304160239
2,31,0.016941147387115052
2,32,0.06099440053208127
2,33,0.10147281388890406
2,34,0.0028634944962959707
2,35,0.002098860056776175
2,36,0.002891213000566495
2,37,0.017023601203163707
2,38,0.010513985594343467
2,39,0.00344424455488479
2,40,0.004772097055138147
2,41,0.002157171317776374
2,42,0.0009708789325486578
2,43,0.0019908457693418313
2,44,0.00046760066334172734
2,45,0.0018294857986802526
2,46,0.0001384331117151305
2,47,4.5744138787995325e-06
