Experiment,Time Step,Input String,Uniform Entropy,Board Entropy,Herding
2,33,scientistIncentives citation 1,6.643856189774724,-0.0,1.0
2,34,scientistIncentives citation 1,6.643856189774724,-0.0,1.0
2,35,scientistIncentives citation 1,6.643856189774724,-0.0,1.0
2,36,scientistIncentives citation 1,6.643856189774724,-0.0,1.0
2,37,scientistIncentives citation 1,6.643856189774724,-0.0,1.0
2,38,scientistIncentives citation 1,6.643856189774724,-0.0,1.0
2,39,scientistIncentives citation 1,6.643856189774724,-0.0,1.0
2,40,scientistIncentives citation 1,6.643856189774724,-0.0,1.0
2,41,scientistIncentives citation 1,6.643856189774724,-0.0,1.0
2,42,scientistIncentives citation 1,6.643856189774724,-0.0,1.0
2,43,scientistIncentives citation 1,6.643856189774724,-0.0,1.0
2,44,scientistIncentives citation 1,6.643856189774724,-0.0,1.0
2,45,scientistIncentives citation 1,6.643856189774724,-0.0,1.0
2,46,scientistIncentives citation 1,6.643856189774724,-0.0,1.0
2,47,scientistIncentives citation 1,6.643856189774724,-0.0,1.0
2,48,scientistIncentives citation 1,6.643856189774724,-0.0,1.0
2,49,scientistIncentives citation 1,6.643856189774724,-0.0,1.0
2,50,scientistIncentives citation 1,6.643856189774724,-0.0,1.0
3,1,scientistIncentives citation 1,6.643856189774724,5.228758439731456,0.21299343477981736
3,2,scientistIncentives citation 1,6.643856189774724,4.656174630069644,0.2991758856496979
3,3,scientistIncentives citation 1,6.643856189774724,2.2473518144449938,0.6617398465210916
3,4,scientistIncentives citation 1,6.643856189774724,-0.0,1.0
3,5,scientistIncentives citation 1,6.643856189774724,-0.0,1.0
3,6,scientistIncentives citation 1,6.643856189774724,-0.0,1.0
3,7,scientistIncentives citation 1,6.643856189774724,-0.0,1.0
3,8,scientistIncentives citation 1,6.643856189774724,-0.0,1.0
3,9,scientistIncentives citation 1,6.643856189774724,-0.0,1.0
3,10,scientistIncentives citation 1,6.643856189774724,-0.0,1.0
3,11,scientistIncentives citation 1,6.643856189774724,-0.0,1.0
3,12,scientistIncentives citation 1,6.643856189774724,-0.0,1.0
3,13,scientistIncentives citation 1,6.643856189774724,-0.0,1.0
3,14,scientistIncentives citation 1,6.643856189774724,-0.0,1.0
3,15,scientistIncentives citation 1,6.643856189774724,-0.0,1.0
3,16,scientistIncentives citation 1,6.643856189774724,-0.0,1.0
3,17,scientistIncentives citation 1,6.643856189774724,-0.0,1.0
3,18,scientistIncentives citation 1,6.643856189774724,-0.0,1.0
3,19,scientistIncentives citation 1,6.643856189774724,-0.0,1.0
3,20,scientistIncentives citation 1,6.643856189774724,-0.0,1.0
3,21,scientistIncentives citation 1,6.643856189774724,-0.0,1.0
3,22,scientistIncentives citation 1,6.643856189774724,-0.0,1.0
3,23,scientistIncentives citation 1,6.643856189774724,-0.0,1.0
3,24,scientistIncentives citation 1,6.643856189774724,-0.0,1.0
3,25,scientistIncentives citation 1,6.643856189774724,-0.0,1.0
3,26,scientistIncentives citation 1,6.643856189774724,-0.0,1.0
