Experiment,Time Step,Uniform Entropy,Board Entropy,Herding
1,1,6.643856189774724,5.173660689688188,0.22128647250812727
1,2,6.643856189774724,5.038562939644919,0.2416207100629968
1,3,6.643856189774724,4.492878689342032,0.3237543738142873
1,4,6.643856189774724,0.14144054254182067,0.9787110770459623
1,5,6.643856189774724,-0.0,1.0
1,6,6.643856189774724,-0.0,1.0
1,7,6.643856189774724,-0.0,1.0
1,8,6.643856189774724,-0.0,1.0
1,9,6.643856189774724,-0.0,1.0
1,10,6.643856189774724,-0.0,1.0
1,11,6.643856189774724,-0.0,1.0
1,12,6.643856189774724,-0.0,1.0
1,13,6.643856189774724,-0.0,1.0
1,14,6.643856189774724,-0.0,1.0
1,15,6.643856189774724,-0.0,1.0
1,16,6.643856189774724,-0.0,1.0
1,17,6.643856189774724,-0.0,1.0
1,18,6.643856189774724,-0.0,1.0
1,19,6.643856189774724,-0.0,1.0
1,20,6.643856189774724,-0.0,1.0
1,21,6.643856189774724,-0.0,1.0
1,22,6.643856189774724,-0.0,1.0
1,23,6.643856189774724,-0.0,1.0
1,24,6.643856189774724,-0.0,1.0
1,25,6.643856189774724,-0.0,1.0
1,26,6.643856189774724,-0.0,1.0
1,27,6.643856189774724,-0.0,1.0
1,28,6.643856189774724,-0.0,1.0
1,29,6.643856189774724,-0.0,1.0
1,30,6.643856189774724,-0.0,1.0
1,31,6.643856189774724,-0.0,1.0
1,32,6.643856189774724,-0.0,1.0
1,33,6.643856189774724,-0.0,1.0
1,34,6.643856189774724,-0.0,1.0
1,35,6.643856189774724,-0.0,1.0
1,36,6.643856189774724,-0.0,1.0
1,37,6.643856189774724,-0.0,1.0
1,38,6.643856189774724,-0.0,1.0
1,39,6.643856189774724,-0.0,1.0
1,40,6.643856189774724,-0.0,1.0
1,41,6.643856189774724,-0.0,1.0
1,42,6.643856189774724,-0.0,1.0
1,43,6.643856189774724,-0.0,1.0
1,44,6.643856189774724,-0.0,1.0
1,45,6.643856189774724,-0.0,1.0
1,46,6.643856189774724,-0.0,1.0
1,47,6.643856189774724,-0.0,1.0
1,48,6.643856189774724,-0.0,1.0
1,49,6.643856189774724,-0.0,1.0
1,50,6.643856189774724,-0.0,1.0
