Input,ID,Total Funding Accumulated,starFactor,Citation Count
scientistIncentives citation 1,99,10.0,-1.2857142857142858,22
scientistIncentives citation 1,34,14.0,-0.32047469950152285,49
scientistIncentives citation 1,36,11.0,0.5357241328625748,52
scientistIncentives citation 1,154,1,-0.6666666666666665,11
scientistIncentives citation 1,41,10.0,-0.687625724505093,42
scientistIncentives citation 1,125,10.0,-1.0,13
scientistIncentives citation 1,111,20.0,-0.935483870967742,24
scientistIncentives citation 1,156,9,-0.5882352941176472,18
scientistIncentives citation 1,159,10,-1.0,16
scientistIncentives citation 1,50,10.0,-0.7480557913248105,36
scientistIncentives citation 1,54,10.0,0.3156281395902636,55
scientistIncentives citation 1,162,6,1.333333333333333,4
scientistIncentives citation 1,163,2,1.666666666666667,8
scientistIncentives citation 1,89,18.0,-0.22580645161290303,45
scientistIncentives citation 1,132,10.0,-0.6470588235294117,20
scientistIncentives citation 1,90,20.0,-0.3225806451612905,48
scientistIncentives citation 1,167,3,-1.0769230769230769,5
scientistIncentives citation 1,168,4,2.0,5
scientistIncentives citation 1,169,5,-0.25,2
scientistIncentives citation 1,170,5,6.0,3
scientistIncentives citation 1,124,22.0,-0.838709677419355,25
scientistIncentives citation 1,172,5,-1.4615384615384615,12
scientistIncentives citation 1,173,4,-0.2666666666666666,18
scientistIncentives citation 1,174,5,0.375,11
scientistIncentives citation 1,175,1,4.0,5
scientistIncentives citation 1,176,7,-0.5555555555555554,19
scientistIncentives citation 1,177,2,-1.2857142857142858,5
scientistIncentives citation 1,77,12.0,-0.16129032257821674,58
scientistIncentives citation 1,178,6,9.0,9
scientistIncentives citation 1,182,10,-1.5,1
scientistIncentives citation 1,183,6,-0.6000000000000001,8
scientistIncentives citation 1,135,27.0,-0.3225806451612905,34
scientistIncentives citation 1,100,21.0,-0.3225806451612905,38
scientistIncentives citation 1,186,4,-0.25,3
scientistIncentives citation 1,187,1,-1.5555555555555556,2
scientistIncentives citation 1,189,10,-0.4117647058823528,15
scientistIncentives citation 1,112,16.0,-1.2903225806451613,20
scientistIncentives citation 1,193,6,5.0,9
scientistIncentives citation 1,194,1,-1.1,7
scientistIncentives citation 1,196,0,11.0,4
scientistIncentives citation 1,161,10.0,-1.1333333333333333,11
scientistIncentives citation 1,146,15.0,-0.903225806451613,25
scientistIncentives citation 1,147,10.0,-1.173913043478261,21
scientistIncentives citation 1,198,8,-1.0,4
